model_name,version,cmd_num,run_cmd,actual_run,reuse,time
ceilingsAndFloors,v1_v5,30,30,30,0,83341
dijkstra,v1,6,6,6,0,63836
dijkstra,v2,6,6,6,0,39695
dijkstra,v3,6,6,6,0,31131
dijkstra,v4,6,6,6,0,20714
dijkstra,v5,6,6,6,0,23612
dijkstra,v2_v5,24,24,24,0,115152
dijkstra,v1_v5,30,30,30,0,178988
dll,v1,4,4,4,0,4409
dll,v2,4,4,4,0,1577
dll,v3,4,4,4,0,1402
dll,v4,4,4,4,0,1498
dll,v5,4,4,4,0,1516
dll,v2_v5,16,16,16,0,5993
dll,v1_v5,20,20,20,0,10402
farmer,v1,3,3,3,0,50013
farmer,v2,3,3,3,0,1933
farmer,v3,3,3,3,0,1771
farmer,v4,3,3,3,0,90185
farmer,v5,3,3,3,0,90095
farmer,v2_v5,12,12,12,0,183984
farmer,v1_v5,15,15,15,0,233997
filesystem,v1,3,3,3,0,1430
filesystem,v2,3,3,3,0,156
filesystem,v3,3,3,3,0,133
filesystem,v4,3,3,3,0,137
filesystem,v5,3,3,3,0,160
filesystem,v2_v5,12,12,12,0,586
filesystem,v1_v5,15,15,15,0,2016
fullTree,v1,3,3,3,0,39552
fullTree,v2,3,3,3,0,33136
fullTree,v3,3,3,3,0,26472
fullTree,v4,3,3,3,0,29569
fullTree,v5,3,3,3,0,23126
fullTree,v2_v5,12,12,12,0,112303
fullTree,v1_v5,15,15,15,0,151855
grade,v1,2,2,2,0,15704
grade,v2,2,2,2,0,6441
grade,v3,2,2,2,0,4589
grade,v4,2,2,2,0,6578
grade,v5,2,2,2,0,7518
grade,v2_v5,8,8,8,0,25126
grade,v1_v5,10,10,10,0,40830
grandpa1,v1,3,3,3,0,32028
grandpa1,v2,3,3,3,0,23345
grandpa1,v3,3,3,3,0,16872
grandpa1,v4,3,3,3,0,18795
grandpa1,v5,3,3,3,0,20856
grandpa1,v2_v5,12,12,12,0,79868
grandpa1,v1_v5,15,15,15,0,111896
grandpa2,v1,2,2,2,0,27910
grandpa2,v2,2,2,2,0,2883
grandpa2,v3,2,2,2,0,9604
grandpa2,v4,2,2,2,0,15438
grandpa2,v5,2,2,2,0,10557
grandpa2,v2_v5,8,8,8,0,38482
grandpa2,v1_v5,10,10,10,0,66392
grandpa3,v1,5,5,5,0,71805
grandpa3,v2,5,5,5,0,28747
grandpa3,v3,5,5,5,0,122795
grandpa3,v4,5,5,5,0,123058
grandpa3,v5,5,5,5,0,122776
grandpa3,v2_v5,20,20,20,0,397376
grandpa3,v1_v5,25,25,25,0,469181
handshake,v1,4,4,4,0,23196
handshake,v2,4,4,4,0,13843
handshake,v3,4,4,4,0,19130
handshake,v4,4,4,4,0,21500
handshake,v5,4,4,4,0,18485
handshake,v2_v5,16,16,16,0,72958
handshake,v1_v5,20,20,20,0,96154
life,v1,3,3,3,0,10111
life,v2,3,3,3,0,6584
life,v3,3,3,3,0,60419
life,v4,3,3,3,0,60469
life,v5,3,3,3,0,60392
life,v2_v5,12,12,12,0,187864
life,v1_v5,15,15,15,0,197975
lists,v1,4,4,4,0,90511
lists,v2,4,4,4,0,72194
lists,v3,4,4,4,0,46357
lists,v4,4,4,4,0,45169
lists,v5,4,4,4,0,45350
lists,v2_v5,16,16,16,0,209070
lists,v1_v5,20,20,20,0,299581
peterson,v1,17,17,17,0,34755
peterson,v2,17,17,17,0,24790
peterson,v3,17,17,17,0,75014
peterson,v4,17,17,17,0,132996
peterson,v5,17,17,17,0,81711
peterson,v2_v5,68,68,68,0,314511
peterson,v1_v5,85,85,85,0,349266
ringElection1,v1,6,6,6,0,129607
ringElection1,v2,6,6,6,0,108363
ringElection1,v3,6,6,6,0,7961
ringElection1,v4,6,6,6,0,757
ringElection1,v5,6,6,6,0,701
ringElection1,v2_v5,24,24,24,0,117782
ringElection1,v1_v5,30,30,30,0,247389
sll,v1,1,1,1,0,1452
sll,v2,1,1,1,0,196
sll,v3,1,1,1,0,124
sll,v4,1,1,1,0,101
sll,v5,1,1,1,0,93
sll,v2_v5,4,4,4,0,514
sll,v1_v5,5,5,5,0,1966
student,v1,5,5,5,0,6250
student,v2,5,5,5,0,2970
student,v3,5,5,5,0,2664
student,v4,5,5,5,0,2532
student,v5,5,5,5,0,2510
student,v2_v5,20,20,20,0,10676
student,v1_v5,25,25,25,0,16926
